,voice_filename,transcript,accent,gender,tone,mfcc_mean,chroma_mean,contrast_mean,centroid_mean,bandwidth_mean,zero_crossings_mean
0,voice_1.mp3,چرا این‌‌‌‌طور فکر می‌‌‌‌کنی؟,فارسی,male,question,"[-226.45906      27.234396     -4.854726     13.827248    -15.27615
   -4.678407    -14.294289    -12.708493    -10.803753     -6.9419813
  -16.774246     -0.40692994   -5.813471  ]","[0.631335   0.5893609  0.59790057 0.6132906  0.46722308 0.46286872
 0.47261286 0.513043   0.62237203 0.74467355 0.68347    0.55854815]","[27.92413731 12.36858302 15.13017475 15.27179827 16.59501686 16.34311799
 51.85787325]",3002.3309235177853,2087.8599771521262,0.3040012668918919
1,voice_2.mp3, همیشه من و تو راجع به آن با هم صحبت کرده‌‌‌‌ایم,فارسی,male,normal,"[-341.25583    -10.133878     5.558397    17.953564     6.8014913
   10.913884    -8.575602   -11.389136    -5.5576863  -14.141062
   -7.365129     5.6143017   -7.4446   ]","[0.38676995 0.33763474 0.3399514  0.38050535 0.41079256 0.38373867
 0.36454952 0.43054467 0.660204   0.76759243 0.6558574  0.49550667]","[27.67936516 14.14293756 17.84834701 18.14198698 17.5688718  18.26101812
 55.65954626]",3716.5145667745055,2131.470003686608,0.41519285187007876
2,voice_3.mp3, دنیا در حال گذار به‌‌‌‌سمت پایداری است,فارسی,male,normal,"[-308.26108     -7.790743     6.654821     9.634984     7.033148
    7.9679856   -9.715614   -11.469711   -12.607997   -14.636851
   -2.9616895    8.0932255  -10.290961 ]","[0.40178165 0.3928808  0.37732053 0.48148748 0.5278248  0.46988028
 0.38250187 0.43311098 0.49094045 0.6148953  0.7051517  0.49570632]","[27.21609872 13.85584494 18.61779162 20.05139737 18.377481   17.93519746
 53.88837821]",3715.25706378011,2089.0853431546084,0.4275973135964912
3,voice_4.mp3,شاخصی که باید عملکرد تسلا را با آن اندازه بگیریم,فارسی,male,normal,"[-324.18372    -12.081556     0.6377594   17.15852      9.597183
    6.208883    -9.949898    -7.085898    -1.0005814  -17.2371
  -12.633164     7.732043   -17.585815 ]","[0.4548103  0.33421117 0.3522711  0.37673205 0.41892576 0.46065673
 0.40660006 0.429243   0.57785225 0.728394   0.6688382  0.5470966 ]","[26.48621316 14.083843   18.3248408  18.59203728 19.57785243 19.86364659
 54.20579789]",3742.2955175077623,1994.383106047842,0.42329892632681565
4,voice_5.mp3,باید تعداد واقعاً غیرقابل‌‌‌‌تصوری باتری تولید کنیم,فارسی,male,normal,"[-273.72803       4.334649     -1.7544707    18.322426      8.920912
   -3.6554613    -4.269247      0.42876995  -10.268069    -19.24353
   -9.006081     -0.33295906  -16.600393  ]","[0.4542341  0.41574174 0.44602737 0.4391814  0.4408666  0.44826892
 0.5105047  0.5803247  0.5135084  0.5287967  0.6182816  0.6187523 ]","[27.70968228 13.96555351 18.92690269 18.20507979 18.39132621 19.0982687
 53.03229411]",3451.477394020346,2081.1251868815325,0.3872889805506993
5,voice_6.mp3,انرژی پایدار در وهلۀ اول یعنی انرژی خورشیدی و بادی,فارسی,male,normal,"[-302.059       -6.7070937    3.8271344   34.170826    12.075585
   -7.0414906   -7.4598107    4.0534043  -12.350408   -16.322018
   -3.8601918   -5.63076    -16.023636 ]","[0.53401506 0.3742721  0.34742776 0.39353797 0.38388467 0.39309695
 0.42071572 0.50994486 0.51702344 0.43140388 0.4776579  0.59973377]","[28.60703425 15.6157436  19.61510722 18.95015413 20.78304642 18.93760124
 53.37207657]",3401.908845092194,2035.8031659375708,0.3512432391826923
6,voice_7.mp3,در اینجا مسئله تقاضای مصرف‌‌‌‌کننده نیست,فارسی,male,normal,"[-293.4595      -2.8754332   11.646889    13.680508    10.89021
   -5.2687206  -10.406437     1.3947027   -8.312927   -13.463214
  -14.632861    -1.8466765  -20.4921   ]","[0.33034706 0.29326648 0.31138957 0.338606   0.30346143 0.35474327
 0.5184294  0.5083697  0.54019123 0.54083836 0.49815902 0.38112763]","[29.40941599 16.43361325 19.15813734 17.80363814 19.23027667 21.05057149
 51.81180708]",3641.867363579241,2070.8429234723544,0.3655706441627358
7,voice_8.mp3,فکر می‌‌‌‌کنی چقدر تحقق این ایده را جلو انداخته‌‌‌‌ای,فارسی,male,normal,"[-2.7290021e+02  3.4959974e+00 -7.7369061e+00  2.4505510e+01
  6.6902885e+00 -8.0873995e+00 -2.1679010e+00  2.6402608e-01
 -1.2473832e+01 -1.5282390e+01 -6.1520233e+00 -1.1499178e+01
 -1.9238615e+01]","[0.4115959  0.4718455  0.41229397 0.37912908 0.39230758 0.40651584
 0.42110664 0.49105516 0.5246072  0.4850497  0.47714964 0.42183292]","[29.56311157 15.58492333 18.6550123  17.67025746 19.82445378 21.25983955
 53.83224775]",3362.352062105312,2015.9832429736518,0.3384866153492647
8,voice_9.mp3,دستیابی به تولید با حجم بالا و داشتن جریان وجوه نقدِ آزاد,فارسی,male,normal,"[-253.11868      7.299917   -11.878819    24.090418     2.5391502
   -6.234508    -5.5927706   -1.4545082   -7.4500747  -16.8023
   -5.924271    -6.262083   -19.403063 ]","[0.49317783 0.3818179  0.3938838  0.4169523  0.3947872  0.32498187
 0.33880165 0.47644717 0.54991275 0.51428515 0.49720266 0.5313851 ]","[28.99676989 15.2654415  18.62148994 17.82065733 19.20698475 21.18756388
 54.70008497]",3277.832213634153,1975.0929394354316,0.33218771581491713
9,voice_10.mp3,ما صدها شرکت استارتاپ خودرویی داشته‌‌‌‌ایم,فارسی,male,normal,"[-254.24596     14.344409     7.4916415   20.449038    -3.9982889
   -7.124762   -15.674224    -3.0162637   -5.87555    -18.191805
   -8.487788    -2.87975    -12.365655 ]","[0.55779254 0.4428275  0.44858646 0.45065686 0.39130116 0.37108445
 0.51773626 0.5749713  0.55791134 0.5964431  0.6103133  0.5451625 ]","[25.31387743 12.91252597 17.09815441 18.13363163 18.05039222 19.66966642
 53.22674868]",3318.7627288993685,2053.7009355987116,0.34745247908464566
